tender_row_nr;tender_id;tender_country;tender_title;tender_size;tender_supplyType;tender_procedureType;tender_nationalProcedureType;tender_mainCpv;tender_cpvs;tender_addressOfImplementation_nuts;tender_year;tender_eligibleBidLanguages;tender_npwp_reasons;tender_awardDeadline;tender_contractSignatureDate;tender_awardDecisionDate;tender_bidDeadline;tender_cancellationDate;tender_estimatedStartDate;tender_estimatedCompletionDate;tender_estimatedDurationInYears;tender_estimatedDurationInMonths;tender_estimatedDurationInDays;tender_isEUFunded;tender_isDps;tender_isElectronicAuction;tender_isAwarded;tender_isCentralProcurement;tender_isJointProcurement;tender_isOnBehalfOf;tender_isFrameworkAgreement;tender_isCoveredByGpa;tender_hasLots;tender_estimatedPrice;tender_estimatedPrice_currency;tender_estimatedPrice_minNetAmount;tender_estimatedPrice_maxNetAmount;tender_estimatedPrice_EUR;tender_finalPrice;tender_finalPrice_currency;tender_finalPrice_minNetAmount;tender_finalPrice_maxNetAmount;tender_finalPrice_EUR;tender_description_length;tender_personalRequirements_length;tender_economicRequirements_length;tender_technicalRequirements_length;tender_documents_count;tender_awardCriteria_count;tender_corrections_count;tender_onBehalfOf_count;tender_lots_count;tender_publications_count;tender_publications_firstCallForTenderDate;tender_publications_lastCallForTenderDate;tender_publications_firstdContractAwardDate;tender_publications_lastContractAwardDate;tender_publications_lastContractAwardUrl;tender_indicator_INTEGRITY_SINGLE_BID;tender_indicator_INTEGRITY_CALL_FOR_TENDER_PUBLICATION;tender_indicator_INTEGRITY_ADVERTISEMENT_PERIOD;tender_indicator_INTEGRITY_PROCEDURE_TYPE;tender_indicator_INTEGRITY_DECISION_PERIOD;tender_indicator_INTEGRITY_TAX_HAVEN;tender_indicator_INTEGRITY_NEW_COMPANY;tender_indicator_ADMINISTRATIVE_CENTRALIZED_PROCUREMENT;tender_indicator_ADMINISTRATIVE_ELECTRONIC_AUCTION;tender_indicator_ADMINISTRATIVE_COVERED_BY_GPA;tender_indicator_ADMINISTRATIVE_FRAMEWORK_AGREEMENT;tender_indicator_ADMINISTRATIVE_ENGLISH_AS_FOREIGN_LANGUAGE;tender_indicator_ADMINISTRATIVE_NOTICE_AND_AWARD_DISCREPANCIES;tender_indicator_TRANSPARENCY_NUMBER_OF_KEY_MISSING_FIELDS;tender_indicator_TRANSPARENCY_AWARD_DATE_MISSING;tender_indicator_TRANSPARENCY_BUYER_NAME_MISSING;tender_indicator_TRANSPARENCY_PROC_METHOD_MISSING;tender_indicator_TRANSPARENCY_BUYER_LOC_MISSING;tender_indicator_TRANSPARENCY_BIDDER_ID_MISSING;tender_indicator_TRANSPARENCY_BIDDER_NAME_MISSING;tender_indicator_TRANSPARENCY_MARKET_MISSING;tender_indicator_TRANSPARENCY_TITLE_MISSING;tender_indicator_TRANSPARENCY_VALUE_MISSING;tender_indicator_TRANSPARENCY_YEAR_MISSING;tender_indicator_INTEGRITY_WINNER_CA_SHARE;tender_indicator_TRANSPARENCY_MISSING_ADDRESS_OF_IMPLEMENTATION_NUTS;tender_indicator_TRANSPARENCY_MISSING_ELIGIBLE_BID_LANGUAGES;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_AWARD_CRITERIA;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_CPVS;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_DURATION_INFO;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_FUNDINGS_INFO;tender_indicator_TRANSPARENCY_MISSING_SELECTION_METHOD;tender_indicator_TRANSPARENCY_MISSING_SUBCONTRACTED_INFO;buyer_row_nr;buyer_buyerType;buyer_mainActivities;buyer_id;buyer_name;buyer_nuts;buyer_city;buyer_country;buyer_postcode;lot_row_nr;lot_title;lot_selectionMethod;lot_status;lot_contractSignatureDate;lot_cancellationDate;lot_isAwarded;lot_estimatedPrice;lot_estimatedPrice_currency;lot_estimatedPrice_minNetAmount;lot_estimatedPrice_maxNetAmount;lot_estimatedPrice_EUR;lot_lotNumber;lot_bidsCount;lot_validBidsCount;lot_smeBidsCount;lot_electronicBidsCount;lot_nonEuMemberStatesCompaniesBidsCount;lot_otherEuMemberStatesCompaniesBidsCount;lot_foreignCompaniesBidsCount;lot_description_length;bid_row_nr;bid_isWinning;bid_isSubcontracted;bid_isConsortium;bid_price;bid_price_currency;bid_price_minNetAmount;bid_price_maxNetAmount;bid_price_EUR;bidder_row_nr;bidder_id;bidder_name;bidder_nuts;bidder_city;bidder_country;bidder_postcode
11;f3e3e7e6-63b2-40e4-8914-d60ab166e494;CY;;;SUPPLIES;OPEN;;15221000;15221000;CY000;2010;EL,EN;;;;;2011/01/07;;2011/03/01;2011/12/31;;10;305;no;no;no;;;;no;no;yes;;120000;EUR;;;120000;;;;;;;;;;;1;;;1;1;2010-01-01;2010-01-01;;;;;100;50;100;;;;;0;100;0;100;;;;;;;;;;;0;;;;100;;100;0;;100;;1;NATIONAL_AUTHORITY;DEFENCE;EU_body_8c30f02c017a56059ccb79f839991b2ba566965acf746266b7764c4f841db853;Υπουργείο Άμυνας;;Λευκωσία;CY;1432;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;be05a6f5-aa4c-4094-a638-6161eb72943a;CY;;;SERVICES;OPEN;;55512000;55512000;CY000;2010;;;;;2010/11/26;;;;;;;;no;no;no;;;;no;no;yes;;450000;EUR;;;450000;525603;EUR;;;525603;;;;;;1;;;1;1;;;2010-01-01;2010-01-01;;0;0;100;100;100;100;;;0;100;0;;;;;;;;;100;;;100;;;100;;;;;100;;100;1;NATIONAL_AUTHORITY;;EU_body_fb97bb13a762ca9806621b1a56178d6249ecc9caa61c8be18f852d3e4da9b219;Τμήμα Δασών;;Λευκωσία;CY;1414;1;;;AWARDED;;;;;;;;;;1;;;;;;;;1;yes;no;;525603;EUR;;;525603;1;EU_body_0441ca142aa519f1f9ae93f85d0bc5103ab79df8376de7b4926177e288e345fa;Grecian Hotels Enterprices LTD;;Αμμόχωστος;CY;5340
13;5f83c388-ba1a-4dce-aac7-9faff586f291;CY;;ABOVE_THE_THRESHOLD;SERVICES;OPEN;;72224000;72224000,79411000;CY000;2010;;;;;2010/07/26;;;;;;;;yes;no;no;;;;no;no;yes;;230000;EUR;;;230000;219600;EUR;;;219600;;;;;;2;;;1;1;;;2010-01-01;2010-01-01;;100;0;100;100;100;100;;;0;100;0;;;;;;;;;100;;;100;;;100;;;;;100;;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,EDUCATION;EU_body_0e889c0cd7336d00252542e80f320894ec3685ad453f784dc56868ba0f690e96;Τμήμα Δημόσιας Διοίκησης και Προσωπικού;;Λευκωσία;CY;1443;1;;;AWARDED;;;;;;;;;;2;;;;;;;;1;yes;no;;219600;EUR;;;219600;1;EU_body_cc51d30ada11ccc17c9b9bef786c2a26db69f810065550763d310da6322e1a54;Deloitte Ltd και ITMC AE;CY000;Λευκωσία;CY;1065
14;c18db27f-26d3-4ea5-8415-979509565f1f;CY;;;SUPPLIES;OPEN;;22111000;22111000;CY000;2010;EL,EN;;;;;2010/04/09;;;;;;;no;no;no;;;;no;no;no;;;;;;;;;;;;;;;;;;;;1;1;2010-01-01;2010-01-01;;;;;100;100;100;;;;;0;0;0;100;;;;;;;;;;;0;;;;100;0;100;0;;100;;1;NATIONAL_AUTHORITY;EDUCATION,RECREATION_CULTURE_AND_RELIGION;EU_body_8a56e5102473e7e3bf8667b930ffcd6f899329e184b5924f56295a9a0e610e8d;Υπουργείο Παιδείας και Πολιτισμού;;Λευκωσία;CY;1434;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;13c34b1d-164b-40d3-843b-26ea793906e7;CY;;;SUPPLIES;OPEN;;44191300;44191300,44191100,44191400;CY000;2010;EL,EN;;;;;2010/11/26;;;;;;;no;no;no;;;;no;no;yes;;;;;;;;;;;;;;;;;1;;;1;2;2010-01-01;2010-01-01;;;;;100;50;100;;;;;0;100;0;100;;;;;;;;;;;0;;;;100;;100;0;;100;;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES;EU_body_5a1ab347c5f62179a47aa3a363216df7b43680407d3f860c658bcd4d69640aac;Τμήμα Κρατικών Αγορών και Προμηθειών;CY000;Λευκωσία;CY;2025;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;b4aa04e7-da54-4251-8a7f-a94261cea6d1;CY;;;SERVICES;OPEN;;92370000;92370000,92140000;CY000;2010;;;;;;;;;;;;;no;no;no;;;;no;no;no;;;;;;;195000;EUR;;;195000;;;;;;1;;;1;1;;;2010-01-01;2010-01-01;;100;0;100;100;100;100;;;0;0;0;;;;;;;;;100;;;100;;;100;;;;;100;;100;1;NATIONAL_AUTHORITY;EDUCATION,RECREATION_CULTURE_AND_RELIGION;EU_body_8a56e5102473e7e3bf8667b930ffcd6f899329e184b5924f56295a9a0e610e8d;Υπουργείο Παιδείας και Πολιτισμού;;Λευκωσία;CY;1434;1;;;AWARDED;;;;;;;;;;2;;;;;;;;1;yes;no;;195000;EUR;;;195000;1;EU_body_9994dfc56031aa3f3d0baa1bdf5a998105be85c1df7a74328391dd4aee7ffdfb;Display ART PLC;;;CY;1642
17;ce497afb-c083-47ea-8d02-53d2a829a85d;CY;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;44114100;44114100;CY000;2010;;;;;2010/08/03;;;;;;;;no;no;no;;;;no;no;yes;;1200000;EUR;;;1200000;1200000;EUR;;;1200000;;;;;;1;;;1;1;;;2010-01-01;2010-01-01;;;0;100;100;100;100;;;0;100;0;;;;;;;;;100;;;100;;;100;;;;;100;;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,OTHER;EU_body_a077e7fb1ce20b9342ac691026f2c2e2dc3f8f1059cff2f8056c37a3dc2d6041;Τμήμα Δημοσίων Έργων;CY000;Λευκωσία;CY;2048;1;;;AWARDED;;;;;;;;;;;;;;;;;;1;yes;no;;1200000;EUR;;;1200000;1;EU_body_da11e7c76ea8f789a4aa66db4834e875defc8510b6205733fa630b3d51ca7796;Νεμέσις Έτοιμο Σκυρόδεμα ΛΤΔ;CY000;Λευκωσία;CY;2015
18;46e27275-3902-4597-b1b5-e086f6805048;CY;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;31170000;31170000;CY000;2010;EN;;;;;2010/09/10;;;;;24;720;no;no;no;;;;no;no;yes;;3000000;EUR;;;3000000;;;;;;;;;;;1;;;1;1;2010-01-01;2010-01-01;;;;;100;100;100;;;;;0;100;0;100;;;;;;;;;;;0;;;;100;;100;0;;100;;1;PUBLIC_BODY;ELECTRICITY;EU_body_6bc73a5f38e068bf0b213eca8e73ac98d5ef3d16c8fd0017e7a1861c0bb9ac75;Electricity Authority of Cyprus;CY000;Nicosia;CY;2025;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;8df20d10-ee00-4e24-8be6-3ed46f4b3246;CY;;;SERVICES;OPEN;;85311000;85311000;CY000;2010;EL;;;;;2010/12/17;;;;;12;360;yes;no;no;;;;no;no;yes;;850000;EUR;;;850000;;;;;;;;;;;1;;;1;1;2010-01-01;2010-01-01;;;;;100;50;100;;;;;0;100;0;0;;;;;;;;;;;0;;;;100;;100;0;;100;;1;NATIONAL_AUTHORITY;;EU_body_49e2471621311542d494419a52d6e60388b08237da31681b0564eecb622a5dcc;Υπηρεσία Ασύλου;;Λευκωσία;CY;1681;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;565c94f1-d372-4baf-ae81-045a85763bd2;CY;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;44114100;44114100;CY000;2010;;;;;2010/05/20;;;;;;;;no;no;no;;;;no;no;yes;;;;;;;1150000;EUR;;;1150000;;;;;;1;;;1;1;;;2010-01-01;2010-01-01;;;0;100;100;100;100;;;0;100;0;;;;;;;;;100;;;100;;;100;;;;;100;;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,OTHER;EU_body_a077e7fb1ce20b9342ac691026f2c2e2dc3f8f1059cff2f8056c37a3dc2d6041;Τμήμα Δημοσίων Έργων;CY000;Λευκωσία;CY;2048;1;;;AWARDED;;;;;;;;;4;;;;;;;;;1;yes;no;;180000;EUR;;;180000;1;EU_body_d4ee919c2a9aae59da54be4aadee4992bf79eaffa520852881b8e0576c69e1e7;Εργοληπτικές Εργασίες ΑΓ ΚΑΖΑΝΟΣ και ΥΙΟΣ ΛΤΔ;;Λευκωσία;CY;1684
