,organisation_chain,tender_reference_number,tender_id,tender_type,withdrawal_allowed,tender_category,product_category,tender_value_in_₹_,period_of_work(days),title,work_description,published_date,location,bid_submission_start_date,bid_submission_end_date,bid_opening_date,bid_validity(days),name,address
0,Airports Authority of India,AAI/TRY/ ENGG(E)/CW-14/ 2022-23,2023_AAI_144890_1,Open Tender,Yes,Works,Electrical Works ," 6,46,388 ",60,Replacement of feeder cable for STP at Trichy Airport,Replacement of feeder cable for STP at Trichy Airport,2023-02-10 18:00:00,"AAI, Trichy Airport",2023-02-11 09:30:00,2023-03-04 18:00:00,2023-03-06 11:00:00,90,Asst.Gen.Manager(Engg-Elect),"Asst.Gen.Manager(Engg-Elect), AAI, Trichy Airport."
1,Airports Authority of India,AAI/MDU/CIVIL/674/2023/,2023_AAI_143765_1,Open Tender,Yes,Works,Civil Works ," 12,56,481 ",45,Supply and Installation of steel portable cabin (Office Container) for Cargo office at Air cargo Terminal in Madurai Airport,Supply and Installation of steel portable cabin (Office Container) for Cargo office at Air cargo Terminal in Madurai Airport,2023-02-10 17:00:00,"AAI,Madurai Airport, Madurai-625022",2023-02-11 09:30:00,2023-03-03 18:00:00,2023-03-06 11:00:00,90,"SM(E-C), AAI, Madurai Airport, Madurai-625022","SM(E-C), AAI, Madurai Airport, Madurai-625022"
2,Airports Authority of India,AAI/BLY/COMMERCIAL/2023-24,2023_AAI_145016_1,Open Tender,Yes,Services,Miscellaneous Services ," 2,82,288 ",365,LICENSE FOR 02 CLUBBED FACILITIES i.e. TEA/SNACK BAR COUNTER IN SECURITY HOLD AREA (SHA) AND TROLLEY RETRIEVAL CUM ADVERTISEMENT RIGHTS FACILITY AT BARIELLY AIRPORT,"LICENSE FOR 02 CLUBBED FACILITIES
i.e. TEA/SNACK BAR COUNTER IN SECURITY HOLD AREA (SHA)
AND
TROLLEY RETRIEVAL CUM ADVERTISEMENT RIGHTS FACILITY
AT BARIELLY AIRPORT",2023-02-10 17:00:00,"Civil Enclave, Bareilly",2023-02-10 17:00:00,2023-02-17 12:00:00,2023-02-18 12:00:00,180,OIC (Commercial),"Office of the Airport Director, OIC (Commercial),Civil Enclave, Bareilly"
3,Airports Authority of India,AAI/KSG/AGM(C)/Sec. Room/2022-23,2023_AAI_144881_1,Open Tender,Yes,Works,Civil Works ," 13,31,835 ",60,Provision of room for security arrangements at Kishangarh Airport,Provision of room for security arrangements at Kishangarh Airport,2023-02-10 12:30:00,Kishangarh Airport,2023-02-14 09:30:00,2023-03-02 18:00:00,2023-03-04 11:00:00,90,AGM(C),Kishangarh Airport
4,Airports Authority of India,AAC/EMD-II/CAT-I-ALCMS/2022-23,2023_AAI_142159_1,Open Tender,Yes,Works,Electrical Works ," 7,60,93,245 ",240,Integration of CAT-I Approach Circuits of Primary Runway,"Integration of CAT_I Approach Circuits of Primary Runway 19L 01R with existing ALCMS
and Associated Electrical Work at NSCBI Airport, Kolkata",2023-02-10 09:30:00,"NSCBI Airport, Kolkata",2023-02-10 09:30:00,2023-03-06 18:00:00,2023-03-09 15:00:00,90,AGM (E-E),"Operational building, EMD-II, AAI, NSCBI Airport, Kolkata - 52."
5,Airports Authority of India,AAI/VNS/ENGG/Vehicles Parking/eNIT-99,2023_AAI_144875_1,Open Tender,Yes,Works,Civil Works - Roads ," 1,07,70,000 ",90,"Development of parking area for Governance, political vehicle, staff vehicles and replacement of damaged footpath tiles in car parking at LBSI Airport Varanasi","Development of parking area for Governance, political vehicle, staff vehicles and replacement of damaged footpath tiles in car parking at LBSI Airport Varanasi",2023-02-09 18:00:00,LBSI Airport Varanasi,2023-02-18 09:00:00,2023-03-03 18:00:00,2023-03-06 11:30:00,90,AGM Engg Civil,"LBSI Airport, Varanasi"
6,Airports Authority of India,AAI/JODHPUR/Commercial-01/ATM,2023_AAI_144651_1,Open Tender,Yes,Services,Allotment of Space ," 7,337 ",2555,"LICENCE FOR INSTALLATION, OPERATION, MAINTENANCE AND MANAGEMENT OF AUTOMATED TELLER MACHINE  FACILITY OUTSIDE TERMINAL BUILDING AT CIVIL ENCLAVE, JODHPUR","LICENCE FOR INSTALLATION, OPERATION, MAINTENANCE AND MANAGEMENT OF AUTOMATED TELLER MACHINE  FACILITY OUTSIDE TERMINAL BUILDING AT CIVIL ENCLAVE, JODHPUR",2023-02-09 18:00:00,JODHPUR,2023-02-09 18:00:00,2023-03-03 18:00:00,2023-03-06 10:00:00,180,AIRPORT DIRECTOR,"CIVIL ENCLAVE, JODHPUR"
7,Airports Authority of India,AAI/DIU/ENGG(E)/WR/ENIT2/22-23,2023_AAI_144631_1,Open Tender,Yes,Works,Electrical Works ," 26,72,460 ",30,Provision of 50 KW Roof Top Solar Power System at Diu Airport,Provision of 50 KW Roof Top Solar Power System at Diu Airport,2023-02-09 17:00:00,Diu Airport,2023-02-09 18:00:00,2023-02-20 15:00:00,2023-02-21 15:30:00,90,AGM(EE),"Asstt.Gen.Manager (E-E), Airports Authority Of India, Regional Head Quarter, W/R, Integrated operational offices building, 5th floor, Parsiwada, Vile Parle (East), Mumbai-400099"
8,Airports Authority of India,AAI/PTK/Engg.(C)/229,2023_AAI_144421_1,Open Tender,Yes,Works,Civil Works ," 60,00,000 ",730,Annual Maintenance Contract of Civil work for Operational and Non Operational Areas at Pathankot Airport during the year 2023-25.,Annual Maintenance Contract of Civil work for Operational and Non Operational Areas at Pathankot Airport during the year 2023-25.,2023-02-09 17:00:00,Pathankot Airport,2023-02-09 17:00:00,2023-03-02 11:00:00,2023-03-03 11:00:00,90,"AGM (Engg.Civil), Amritsar Airport","AGM (E-C), AAI, BCAS office Building, Engineering wing, SGRDJ International Airport, Amritsar Pin-143101."
9,Airports Authority of India,AAI/VAD/AGM (E-C)/Painting/2022-23,2023_AAI_143773_1,Open Tender,Yes,Works,Civil Works ," 40,55,000 ",365,"Painting, markings to the Runway, Taxiway, Apron and other allied Navigational Facilities for the year 2022- 23 at C.A. Vadodara.","Painting, markings to the Runway, Taxiway, Apron and other allied Navigational Facilities for the year 2022- 23 at C.A. Vadodara.",2023-02-09 13:00:00,Vadodara,2023-02-10 09:30:00,2023-03-08 18:00:00,2023-03-10 11:00:00,90,"AGM (E-C), Old Terminal Vadodara Airport.","Office of AGM (E-C), Old Terminal Building, Vadodara Airport."
