,organisation_chain,tender_reference_number,tender_id,tender_type,withdrawal_allowed,tender_category,product_category,tender_value_in_₹_,period_of_work(days),title,work_description,published_date,location,bid_submission_start_date,bid_submission_end_date,bid_opening_date,bid_validity(days),name,address
10,Airports Authority of India,OP 12012 18 1 2023 APD SR MADURAI,2023_AAI_144549_1,Open Tender,Yes,Works,Job Works ," 15,53,966 ",730,JOB CONTRACT FOR HIRING OF 02 NOS PARAMEDICAL STAFF TO CARRY OUT B A TEST AT MADURAI AIRPORT,"JOB CONTRACT FOR HIRING OF 02 NOS  PARAMEDICAL STAFF TO CARRY OUT BA TEST AT MADURAI AIRPORT

",2023-02-09 13:00:00,Madurai Airport,2023-02-09 13:00:00,2023-02-16 17:00:00,2023-02-17 17:00:00,90,AIRPORT DIRECTOR,AIRPORT DIRECTOR MADURAI AIRPORT
11,Airports Authority of India,AAI/BO/EE/NIT12/PMatric/202223,2023_AAI_144464_1,Open Tender,Yes,Works,Electrical Works ," 47,20,126 ",90,"Supply of Airfield Ground Lighting (AGL) Spares, Conducting Photometric test and Rectification of non confirmance with CAR at C.A. Vadodara.","Supply of Airfield Ground Lighting (AGL) Spares, Conducting Photometric test and Rectification of non confirmance with CAR at C.A. Vadodara.",2023-02-09 10:00:00,VADODARA AIRPORT,2023-02-09 10:00:00,2023-03-01 18:00:00,2023-03-03 11:00:00,90,AGM(E-E),"Airports Authority of India, Vadodara Airport, Vadodara."
12,Airports Authority of India,AAI/ENG/WR/AGM/KAN/NIT05/22-23,2022_AAI_123734_1,Open Tender,Yes,Works,Electrical Works ," 77,42,292 ",120,"Augmentation of power supply including conversion from LT to HT including provision of DG set at C.A. Kandla. SH - SITC of 11 KV , 250 kVA Compact Substation at Kandla Airport",As per BOQ,2023-02-08 16:00:00,Kandla Airport,2023-02-09 15:00:00,2023-02-24 18:00:00,2023-02-27 12:00:00,90,AGM(EE),"5th Floor, Engineering office, Integrated Operational Office building, Regional Headquarters, Airports Authority of India, Vile parle, Mumbai-400099"
13,Airports Authority of India,AAI/BPL/Comml/PrepaidTaxi/2023,2023_AAI_143763_1,Open Tender,Yes,Services,Transportation Services ," 1,13,135 ",1095,"E tender for award of License to Operate Prepaid Taxi Services Outside Arrival Hall of terminal building at Raja Bhoj Airport, Bhopal.","E tender for award of License to Operate Prepaid Taxi Services Outside Arrival Hall of terminal building at Raja Bhoj Airport, Bhopal.",2023-02-08 13:30:00,Raja Bhoj Airport Bhopal,2023-02-08 13:30:00,2023-03-01 16:00:00,2023-03-02 16:30:00,180,Airport Director,"office of Airport Director, Raja Bhoj Airport Bhopal"
14,Airports Authority of India,"Provision of Check in counters, Ticketing counters",2022_AAI_107550_1,Open Tender,Yes,Works,Civil Works ," 92,81,355 ",90,"Provision of Check in counters, Ticketing counters, Gate counters and Security hold area counters for new Terminal building at Jabalpur Airport","Provision of Check in counters, Ticketing counters, Gate counters and Security hold area counters for new Terminal building at Jabalpur Airport",2023-02-08 13:00:00,Jabalpur Airport,2023-02-09 09:30:00,2023-02-28 18:00:00,2023-03-02 11:00:00,90,AGM (E-C) Civil-II,Project Office Jabalpur Airport 
15,Airports Authority of India,AAI/GOA/COMML/VP/PT162/2023,2023_AAI_144335_1,Open Tender,Yes,Services,Miscellaneous Services ," 68,94,000 ",180,"concession (short term) to operate parking management and collection of parking fees, at Land no. PT 162, Goa International Airport, Dabolim.","concession (short term) to operate parking management and collection of parking fees, at Land no. PT 162, Goa International Airport, Dabolim.",2023-02-07 18:55:00,Goa International Airport,2023-02-07 18:55:00,2023-02-28 15:00:00,2023-03-01 15:00:00,180,Airport Director,O/o Airport Director
16,Airports Authority of India,AAI/VNS/ENGG/Repair work/eNIT-98,2023_AAI_144306_1,Open Tender,Yes,Works,Civil Works ," 23,60,000 ",60,"Special repair of boundary wall near old power house to airport  main gate and decoration of this wall alongwith surface of profile sheet view cutter along car parking by providing local/traditional theme based painting work at LBSI Airport, Varanasi","Special repair of boundary wall near old power house to airport  main gate and decoration of this wall alongwith surface of profile sheet view cutter along car parking by providing local/traditional theme based painting work at LBSI Airport, Varanasi",2023-02-07 18:00:00,LBSI Airport Varanasi,2023-02-15 09:00:00,2023-02-28 18:00:00,2023-03-02 11:30:00,90,AGM Engg Civil,LBSI Airport Varanasi
17,Airports Authority of India,AAI/WR/KESHOD/AGM(EE)/01,2023_AAI_143948_1,Open Tender,Yes,Works,Electrical Works ," 37,90,312 ",30,SITC of 50kW Ground Mounted PV Solar Power Plant at AAI. Keshod,SITC of 50kW Ground Mounted PV Solar Power Plant at AAI. Keshod,2023-02-07 17:00:00,C.A.Keshod,2023-02-07 18:00:00,2023-02-15 15:00:00,2023-02-16 15:30:00,90,AGM(EE),"Asstt.Gen.Manager (E-E), Airports Authority Of India, Regional Head Quarter, W/R, Integrated operational offices building, 5th floor, Parsiwada, Vile Parle (East), Mumbai-400099"
18,Airports Authority of India,AAI/SRT/AGM(E-E)/eNIT-08/22-23,2023_AAI_144315_1,Open Tender,Yes,Works,Electrical Works ," 61,89,000 ",1095,Operation of Apron Drive Glass Walled Passenger Boarding Bridge and Visual Docking Guidance System at Surat Airport for 2023-26.,Operation of Apron Drive Glass Walled Passenger Boarding Bridge and Visual Docking Guidance System at Surat Airport for 2023-26.,2023-02-07 10:00:00,"AAI, Surat Airport, Surat",2023-02-07 10:00:00,2023-02-27 15:00:00,2023-02-28 15:00:00,90,"AGM(E-E), AAI, Surat Airport","AGM(E-E), AAI, Surat Airport"
19,Airports Authority of India,AAI/ENGG(C)/FALSE CEILING/2022-23,2023_AAI_143777_1,Open Tender,Yes,Works,Civil Works ," 68,94,536 ",183,"Facelift works like Provision of ACP Cladding at Arrival and Departure Hall, Provision of metal false ceiling, Provision of Granite flooring and miscellaneous works at Kadapa Airport","Facelift works like Provision of ACP Cladding at Arrival and Departure Hall, Provision of metal false ceiling, Provision of Granite flooring and miscellaneous works at Kadapa Airport",2023-02-06 18:30:00,KADAPA AIRPORT,2023-02-15 09:30:00,2023-03-01 18:00:00,2023-03-03 11:00:00,90,Sr. MANAGER (E-C),"Engg. Civil office, Kadapa Airport"
20,Aravali Power Company Pvt. Ltd - IGSTPP,100000633,2023_APCPL_144149_1,Single,Yes,Goods,Miscellaneous Goods ,NA,90,"Spares for ESP, APH and FD Fan","Spares for ESP, APH and FD Fan",2023-02-10 12:00:00,APCPL Jharli,2023-02-10 14:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,120,AGM CNM,APCPL Jharli Jhajjar Haryana 124141
21,Aravali Power Company Pvt. Ltd - IGSTPP,CRN-3894,2023_APCPL_144049_1,Open Tender,Yes,Works,Civil Works ,NA,365,Contract for Structure Strengthening and Life Enhancement of NDCT-II at IGSTPP Jharli,Contract for Structure Strengthening and Life Enhancement of NDCT-II at IGSTPP Jharli,2023-02-04 18:00:00,IGSTPP Jharli,2023-02-04 18:00:00,2023-02-20 14:30:00,2023-02-21 15:15:00,180,HOD CNM,IGSTPP Jharli
22,Aravali Power Company Pvt. Ltd - IGSTPP,100000711,2022_APCPL_139960_2,Limited,Yes,Goods,Miscellaneous Goods ,NA,90,Pulleys for inline Magnetic Separator (ILMS) ,Pulleys for inline Magnetic Separator (ILMS) ,2023-02-04 11:00:00,APCPL Jharli,2023-02-04 13:00:00,2023-02-13 15:00:00,2023-02-14 15:00:00,120,AGM CNM,APCPL Jharli Jhajjar Haryana 124141
23,Aravali Power Company Pvt. Ltd - IGSTPP,CRN-3885,2023_APCPL_143781_1,Limited,Yes,Services,Miscellaneous Services ,NA,365,"Supply, Stacking n Spreading of 65 mm Machine crushed ballast for MGR Track at IGSTPP Jharli","Supply, Stacking n Spreading of 65 mm Machine crushed ballast for MGR Track at IGSTPP Jharli",2023-02-03 18:00:00,IGSTPP Jharli,2023-02-03 18:00:00,2023-02-20 14:30:00,2023-02-21 15:15:00,180,HOD CNM,IGSTPP Jharli
24,Aravali Power Company Pvt. Ltd - IGSTPP,100000744,2023_APCPL_142634_1,Limited,Yes,Goods,Miscellaneous Goods ,NA,90,Forged Hammers for Crusher,Forged Hammers for Crusher,2023-01-23 16:30:00,APCPL Jharli,2023-01-23 17:30:00,2023-02-11 15:00:00,2023-02-13 15:00:00,120,AGM CNM,APCPL Jharli Jhajjar Haryana 124141
25,Aravali Power Company Pvt. Ltd - IGSTPP,CRN-3860,2022_APCPL_137491_2,Limited,Yes,Works,Miscellaneous Works ,NA,365,"Removal , supply and erection of old and new cladding and roofing sheet in main plant","Removal , supply and erection of old and new cladding and roofing sheet in main plant",2023-01-19 18:55:00,IGSTPP Jharli,2023-01-19 18:55:00,2023-02-14 14:30:00,2023-02-15 15:15:00,180,HOD CNM,IGSTPP Jharli
26,Aravali Power Company Pvt. Ltd - IGSTPP,IGSTPP/CS/22-23/CRN-3907,2023_APCPL_144946_1,Open Tender,Yes,Goods,Consumables- Raw materials ,NA,183,PROCUREMENT OF 0.3 MMT OF IMPORTED COAL FOR APCPL POWER PLANT,PROCUREMENT OF 0.3 MMT OF IMPORTED COAL FOR APCPL POWER PLANT,2023-02-10 16:10:00,"IGSTPP,JHARLI",2023-02-17 11:00:00,2023-02-24 15:00:00,2023-02-25 15:10:00,180,HOD CNM,"IGSTPP,JHARLI"
27,Aravali Power Company Pvt. Ltd - IGSTPP,CRN-3902,2023_APCPL_144660_1,Limited,Yes,Services,Miscellaneous Services ,NA,730,Rate Contract for deployment of service engineer for servicing and testing of Sky Climber ,"Rate Contract for deployment of service engineer for servicing and testing of Sky Climber at IGSTPP, Jharli, Jhajjar, Haryana",2023-02-09 09:00:00,IGSTPP,2023-02-09 09:00:00,2023-02-14 15:00:00,2023-02-15 15:00:00,180,Sr Manager CnM,IGSTPP
28,Aravali Power Company Pvt. Ltd - IGSTPP,100000747,2023_APCPL_141855_2,Limited,Yes,Goods,Miscellaneous Goods ,NA,30,Procurement of Light Diesel Oil,Procurement of Light Diesel Oil,2023-02-04 12:30:00,APCPL JHARLI JHAJJR,2023-02-04 13:00:00,2023-02-13 15:00:00,2023-02-14 15:00:00,180,AGM CNM,APCPL JHARLI JHAJJAR GARYANA 124141
29,Aravali Power Company Pvt. Ltd - IGSTPP,CRN-3815,2022_APCPL_129283_2,Open Tender,Yes,Services,Miscellaneous Services ,NA,730,Siemens make westronic based electronic interlocking system WESTRACE VLM-6 at S N T area at APCPL Jhajjar,Siemens make westronic based electronic interlocking system WESTRACE VLM-6 at S N T area at APCPL Jhajjar,2023-02-03 18:00:00,IGSTPP Jharli,2023-02-03 18:00:00,2023-02-20 14:30:00,2023-02-21 15:15:00,180,HOD CNM,IGSTPP Jharli
30,Aravali Power Company Pvt. Ltd - IGSTPP,100000578,2022_APCPL_130551_3,Limited,Yes,Goods,Miscellaneous Goods ,NA,90,Rectifier MOdule for 24 VDC DDCMIS,Rectifier MOdule for 24 VDC DDCMIS,2023-01-28 13:15:00,APCPL Jharli,2023-01-28 15:00:00,2023-02-11 15:00:00,2023-02-13 15:00:00,120,AGM CNM,APCPL Jharli Jhajjar Haryana 124141
31,Aravali Power Company Pvt. Ltd - IGSTPP,100000598,2022_APCPL_133555_3,Limited,Yes,Goods,Miscellaneous Goods ,NA,90,Turbocharger for WDG3A,Turbocharger for WDG3A,2023-01-23 11:30:00,APCPL Jharli,2023-01-23 13:30:00,2023-02-11 15:00:00,2023-02-13 15:00:00,120,AGM CNM,APCPL jharli Jhajjar Haryana 124141
32,Bharat Sanchar Nigam Limited (Govt of India Enterprise), 58 /EE(E)BSNL/CBE/22-23,2023_BSNL_145003_1,Open Tender,Yes,Works,Electrical Works ," 3,79,658 ",365,Providing Comprehensive Maintenance of Lifts  8 passenger lift in TE  Saibaba colony TE CTMX Coimbatore and TE Tiruppur,Providing Comprehensive Maintenance of Lifts  8 passenger lift in TE  Saibaba colony TE CTMX Coimbatore and TE Tiruppur,2023-02-10 18:55:00,COIMBATORE,2023-02-11 10:00:00,2023-02-20 11:00:00,2023-02-21 11:30:00,90,EXECUTIVE ENGINEERE,BSNL ED P AND T S Q SAIBABACOLONY CBE 641011
33,Bharat Sanchar Nigam Limited (Govt of India Enterprise),GMT/PLG/RMY/4G OFC tender1/2022-23/37 dtd 10/02/23,2023_BSNL_145089_1,Open Tender,Yes,Works,OFC Laying Works ," 27,49,400 ",70,Laying OFC and related works in Chinturu Mandal Area-6  of BSNL RMY BA AP Circle,Laying OFC and related works in Chinturu Mandal Area-6  of BSNL RMY BA AP Circle,2023-02-10 18:30:00,Chinturu,2023-02-10 18:45:00,2023-03-02 13:00:00,2023-03-03 15:00:00,180,AGMPLG,AGM PLG O/O GMT SANCHAR BHAVAN BSNL RAJAHMUNDRY.
34,Bharat Sanchar Nigam Limited (Govt of India Enterprise),44/EE/BCD/CHD/2022-23,2023_BSNL_145058_1,Open Tender,Yes,Works,Civil Works ," 4,96,167 ",45,Miscellaneous maintenance work and repair of boundary wall in TE  Building Manimajra ,"Miscellaneous maintenance work and repair of boundary wall in TE   Building Manimajra 

",2023-02-10 18:15:00,Manimajra,2023-02-10 18:15:00,2023-02-17 18:00:00,2023-02-28 11:00:00,30,EE CIVIL BCD CHD,TE BUILDING SEECTOR 17 CHANDIGARH
35,Bharat Sanchar Nigam Limited (Govt of India Enterprise),GMT/PLG/RMY/4G OFC tender1/2022-23/35 dtd 10/02/23,2023_BSNL_145079_1,Open Tender,Yes,Works,OFC Laying Works ," 1,40,25,749 ",70,Laying OFC and related works in Maredumilli Mandal Area-6  of BSNL RMY BA AP Circle,Laying OFC and related works in Maredumilli Mandal Area-6  of BSNL RMY BA AP Circle,2023-02-10 18:00:00,MAREDUMILLI,2023-02-10 18:15:00,2023-03-02 13:00:00,2023-03-03 15:00:00,180,AGMPLG,"AGM PLG O/O GMT SANCHAR BHAVAN BSNL RAJAHMUNDRY.
"
36,Bharat Sanchar Nigam Limited (Govt of India Enterprise),AGM(SandM))/NSK/CSC OUTSOURCE /2022-23/02,2023_BSNL_144948_1,Open Tender,Yes,Works,Miscellaneous Works ,NA,365,E-TENDER for OUTSOURCING OF MAINTENANCE AND OPERATIONS OF CUSTOMER SERVICE CENTERS(CSCs) IN NASHIK SSA OF BSNL,MAINTENANCE AND OPERATIONS OF CUSTOMER SERVICE CENTERS(CSCs) IN NASHIK SSA OF BSNL,2023-02-10 18:00:00,"Jurisdiction of PGMTD-Nashik, Nashik SSA, BSNL.",2023-02-10 18:00:00,2023-03-03 14:00:00,2023-03-04 15:30:00,120,"PGMTD-Nashik, BSNL Nashik","Office of the  PGMTD-Nashik BSNL Sanchar Bhavan, Sir Vishveshwarraiyya Marg, Nashik-422002"
37,Bharat Sanchar Nigam Limited (Govt of India Enterprise),032/2022-2023/EE/CD/ALT/GZB,2023_BSNL_144986_1,Open Tender,Yes,Works,Civil Works ," 60,430 ",30,ITEM RATE,ARMO 1O STAFF QUARTER TYPE V,2023-02-10 18:00:00,ALTTC GHAZIABAD ,2023-02-10 18:00:00,2023-02-18 18:00:00,2023-02-22 15:30:00,30,EXECUTIVE ENGINEER CIVIL ,BSNL CIVIL DIVISION ALTTC GHAZIABAD 
38,Bharat Sanchar Nigam Limited (Govt of India Enterprise),DE/CNTxWP/PJMDE/CNTxWP/KPR/98 (MG-5) DT 10.02.23,2023_BSNL_144996_1,Open Tender,Yes,Works,OFC Laying Works ," 28,60,375 ",365,DE/CNTxWP/PJMDE/CNTxWP/KPR/98 (MG-5) DT 10.02.23,DE/CNTxWP/PJMDE/CNTxWP/KPR/98 (MG-5) DT 10.02.23 Optical Fiber Cable Construction work in Murgud - Gadhinglaj OFC Route,2023-02-10 18:00:00,KOLHAPUR,2023-02-10 18:00:00,2023-02-20 12:00:00,2023-02-21 12:00:00,150,DE OFC CNTXW KPR,"O/o Divisional Engineer, Core Network Transmission-West Project,
1st Floor, Transmission Center, WTR Bldg.Temblai Naka Kolhapur 416004"
39,Bharat Sanchar Nigam Limited (Govt of India Enterprise),DE/CNTxWP/PJM/A-23/ PJM-AMN/78 (PA-1)  Dt 10.02.23,2023_BSNL_144979_1,Open Tender,Yes,Works,OFC Laying Works ," 19,51,712 ",365,DE/CNTxWP/PJM/A-23/ PJM-AMN/78 (PA-1) Dt 10.02.23,DE/CNTxWP/PJM/A-23/ PJM-AMN/78 (PA-1) Dt 10.02.23 Optical Fiber Cable Construction work in Panjim WTR-Amona T.E. OFC Route.,2023-02-10 18:00:00,PANJIM,2023-02-10 18:00:00,2023-02-20 12:00:00,2023-02-21 12:00:00,150,DE OFC CNTXW PJM,"O/o Office of the Divisional Engineer ,Core Network Transmission West Project ,
Ist  Floor , Microwave Building, Nr. Joggers Park, Altinho, Panjim  403001"
40,Bharat Sanchar Nigam Limited (Govt of India Enterprise),eNIT78/BSNL/CDGH/2022-23,2023_BSNL_145046_1,Open Tender,Yes,Works,Civil Works - Buildings ," 1,89,339 ",60,Dismantling temporary unused structure raising of main entrance gate and other miscellaneous works inside Telephone Bhawan compound PanBazar Guwahati,Dismantling temporary unused structure raising of main entrance gate and other miscellaneous works inside Telephone Bhawan compound PanBazar Guwahati,2023-02-10 17:30:00,Panbazar Guwahati,2023-02-10 17:45:00,2023-02-20 18:00:00,2023-02-22 11:00:00,30,Executive Engineer Civil,"BSNL Civil Div, 2nd Floor, BSNL Bhawan, PanBazar Guwahati "
41,Bharat Sanchar Nigam Limited (Govt of India Enterprise),GMT/PLG/RMY/4G OFC tender1/2022-23/32 dtd 10/02/23,2023_BSNL_145060_1,Open Tender,Yes,Works,OFC Laying Works ," 72,30,990 ",70,Laying OFC and related works in Chinturu Mandal Area-4  of BSNL RMY BA AP Circle,Laying OFC and related works in Chinturu Mandal Area-4  of BSNL RMY BA AP Circle,2023-02-10 17:30:00,Chinturu,2023-02-10 17:45:00,2023-03-02 13:00:00,2023-03-03 15:00:00,180,AGMPLG,"AGM PLG O/O GMT SANCHAR BHAVAN BSNL RAJAHMUNDRY.
"
42,Bharat Sanchar Nigam Limited (Govt of India Enterprise),S-4-2/e-Tender/Power Plant Repair/UPR/2022-23/13,2023_BSNL_145051_1,Open Tender,Yes,Works,Miscellaneous Works ," 14,14,060 ",365,E-Tender For Repairing of 25/50/100/200 Amp. SMPS P/P ,"E-Tender For Repairing of 25/50/100/200 Amp. SMPS P/P 
Modules In Udaipur SSA",2023-02-10 17:30:00,UDAIPUR,2023-02-10 17:30:00,2023-02-23 14:30:00,2023-02-24 15:00:00,180,GM UDAIPUR BA,DOORSANCHAR BHAWAN HIRAN MAGRI SEC 4 UDAIPUR
43,Bharat Sanchar Nigam Limited (Govt of India Enterprise),GMT/PLG/RMY/4G OFC tender1/2022-23/31 dtd 10/02/23,2023_BSNL_145049_1,Open Tender,Yes,Works,OFC Laying Works ," 6,06,174 ",14,Laying OFC and related works in Prathipadu Mandal Area-1  of BSNL RMY BA AP Circle,Laying OFC and related works in Prathipadu Mandal Area-1  of BSNL RMY BA AP Circle,2023-02-10 17:15:00,PRATHIPADU,2023-02-10 17:30:00,2023-03-02 13:00:00,2023-03-03 15:00:00,180,AGMPLG,"AGM PLG O/O GMT SANCHAR BHAVAN BSNL RAJAHMUNDRY.
"
44,Bharat Sanchar Nigam Limited (Govt of India Enterprise),PLG/TVLA/LIFT TE THIRUVALLA/2022-23/1,2023_BSNL_145028_1,Open Tender,Yes,Works,Job Works ,NA,180,"Comprehensive maintenance of 1x8 Passenger lift at Telephone Exchange bldg, Thiruvalla","comprehensive maintenance of 1x8 Passenger lift at Telephone Bhavan (TE), Thiruvalla",2023-02-10 17:00:00,Thiruvalla,2023-02-10 17:00:00,2023-03-02 11:00:00,2023-03-03 11:00:00,150,AGM Planning,"O/o PGMT, BSNL, Thiruvalla"
45,Bharat Sanchar Nigam Limited (Govt of India Enterprise),MM/E-TENDER/RJT/RMC SCANING/2022-23 Dated 04-02-23,2023_BSNL_144974_1,Open Tender,Yes,Services,"Scanning, Digitisation Services "," 48,00,000 ",365,Scanning Indexing and Uploading of scanned images of various size documents of RMC under smart city project,SCANNING INDEXING  UPLOADING OF SCANNED IMAGES OF VARIOUS SIZED DOCUMENTS OF RAJKOT MUNICIPAL CORPORATION OFFICES UNDER SMART CITY PROJECT WITH BSNL As per Technical details Specification given in tender document,2023-02-10 17:00:00,Rajkot,2023-02-10 17:00:00,2023-03-04 14:30:00,2023-03-06 15:00:00,150,AGM(MM) BSNL Rajkot on behalf of GMTD Rajkot,"2nd Floor Bhaktinagar TE, Lohanagar, Rajkot 360002"
46,Bharat Sanchar Nigam Limited (Govt of India Enterprise),PLG/TVLA/LIFT BSNL BHAVAN/2022-23/1,2023_BSNL_145021_1,Open Tender,Yes,Works,Job Works ,NA,180,"Comprehensive maintenance of 1x8 Passenger lift at BSNL Bhavan,Thiruvalla ","comprehensive maintenance of 1x8 Passenger lift at BSNL Bhavan ,Thiruvalla ",2023-02-10 17:00:00,Thiruvalla,2023-02-10 17:00:00,2023-03-02 11:00:00,2023-03-03 11:00:00,150,AGM Planning,"O/o PGMT, BSNL, Thiruvalla"
