classify,title,timeShow,stageName,platformName,classifyShow,tradeShow,districtShow,url,stageShow,titleShow
02,碱滩镇永星村路灯亮化建设项目竞争性磋商公告,2023-06-01,信息类型,张掖市公共资源交易电子交易系统,政府采购,,甘肃,http://www.ggzy.gov.cn/information/html/a/620000/0201/202305/30/0062c27a4d4a31a149cb92375047be0d001b.shtml,采购/资审公告,碱滩镇永星村路灯亮化建设项目竞争性磋商公告
01,某部年度绿化和基础设施整治项目招标公告,2023-06-01,信息类型,张掖市公共资源交易电子交易系统,工程建设,,甘肃,http://www.ggzy.gov.cn/information/html/a/620000/0101/202305/31/00629b10e81b9d874001a90342440d5ba1f6.shtml,招标/资审公告,某部年度绿化和基础设施整治项目招标公告
02,2023年甘州区困难重度残疾人家庭无障碍改造项目招标公告,2023-06-01,信息类型,张掖市公共资源交易电子交易系统,政府采购,,甘肃,http://www.ggzy.gov.cn/information/html/a/620000/0201/202305/30/00629301e01635a04c82a4aa6d314193d586.shtml,采购/资审公告,2023年甘州区困难重度残疾人家庭无障碍改造项目招标公告
03,金塔县自然资源局国有土地使用权挂牌出让公告（金自然资源出让告字【2023】5号）,2023-06-01,信息类型,酒泉市公共资源交易平台（甘肃省.酒泉市）,土地使用权,,甘肃,http://www.ggzy.gov.cn/information/html/a/620000/0301/202305/12/006268b88a563e244bb0a894ff7bdc673042.shtml,出让公示,金塔县自然资源局国有土地使用权挂牌出让公告（金自然资源出让告字【2023】5号）
02,兰州市城关区财政局国库支付专线租用服务项目单一来源采购公告,2023-06-01,信息类型,兰州市电子招投标交易平台,政府采购,,甘肃,http://www.ggzy.gov.cn/information/html/a/620000/0201/202305/31/006245a5af2c406a4c74b9d8a35327207778.shtml,采购/资审公告,兰州市城关区财政局国库支付专线租用服务项目单一来源采购公告
02,兰州市第八十三中学2023年物业服务项目,2023-06-01,信息类型,兰州市电子招投标交易平台,政府采购,,甘肃,http://www.ggzy.gov.cn/information/html/a/620000/0201/202305/31/00622ae65f2c14f845db9ebedf90c61f6a7b.shtml,采购/资审公告,兰州市第八十三中学2023年物业服务项目
05,米箩宏兴商业广场,2023-06-01,信息类型,六盘水市公共资源交易中心,国有产权,,贵州,http://www.ggzy.gov.cn/information/html/a/520000/0501/202305/25/0052c2e4aaa023d94f29afb32e7acfbe63b6.shtml,挂牌披露,米箩宏兴商业广场
05,中国人民银行毕节市中心支行闲置办公楼及库房&nbsp;招租公告(第六次）,2023-06-01,信息类型,毕节市公共资源交易中心,国有产权,,贵州,http://www.ggzy.gov.cn/information/html/a/520000/0501/202305/12/0052496f8964611f424ea0a57b3e97be6068.shtml,挂牌披露,中国人民银行毕节市中心支行闲置办公楼及库房&nbsp;招租公告(第六次）
03,仙土公字[2023]46号,2023-06-01,信息类型,,土地使用权,,湖北,http://www.ggzy.gov.cn/information/html/a/420000/0301/202305/31/0042020f76f4f9084f3992cc66c7d9de1705.shtml,出让公示,仙土公字[2023]46号
05,宁城县殡仪服务中心殡仪楼一楼东侧大厅（隔断内）出租,2023-06-01,信息类型,赤峰公共资源电子交易管理服务软件系统,国有产权,,内蒙古,http://www.ggzy.gov.cn/information/html/a/150000/0501/202305/31/00155ac82df802654767be117cf6be86541b.shtml,挂牌披露,宁城县殡仪服务中心殡仪楼一楼东侧大厅（隔断内）出租
