tender_id,tender_country,tender_title,tender_size,tender_supplyType,tender_procedureType,tender_nationalProcedureType,tender_mainCpv,tender_cpvs,tender_addressOfImplementation_nuts,tender_year,tender_eligibleBidLanguages,tender_npwp_reasons,tender_awardDeadline,tender_contractSignatureDate,tender_awardDecisionDate,tender_bidDeadline,tender_cancellationDate,tender_estimatedStartDate,tender_estimatedCompletionDate,tender_estimatedDurationInYears,tender_estimatedDurationInMonths,tender_estimatedDurationInDays,tender_isEUFunded,tender_isDps,tender_isElectronicAuction,tender_isAwarded,tender_isCentralProcurement,tender_isJointProcurement,tender_isOnBehalfOf,tender_isFrameworkAgreement,tender_isCoveredByGpa,tender_hasLots,tender_estimatedPrice,tender_estimatedPrice_currency,tender_estimatedPrice_minNetAmount,tender_estimatedPrice_maxNetAmount,tender_estimatedPrice_EUR,tender_finalPrice,tender_finalPrice_currency,tender_finalPrice_minNetAmount,tender_finalPrice_maxNetAmount,tender_finalPrice_EUR,tender_description_length,tender_personalRequirements_length,tender_economicRequirements_length,tender_technicalRequirements_length,tender_documents_count,tender_awardCriteria_count,tender_corrections_count,tender_onBehalfOf_count,tender_lots_count,tender_publications_count,tender_publications_firstCallForTenderDate,tender_publications_lastCallForTenderDate,tender_publications_firstdContractAwardDate,tender_publications_lastContractAwardDate,tender_publications_lastContractAwardUrl,tender_indicator_INTEGRITY_SINGLE_BID,tender_indicator_INTEGRITY_CALL_FOR_TENDER_PUBLICATION,tender_indicator_INTEGRITY_ADVERTISEMENT_PERIOD,tender_indicator_INTEGRITY_PROCEDURE_TYPE,tender_indicator_INTEGRITY_DECISION_PERIOD,tender_indicator_INTEGRITY_TAX_HAVEN,tender_indicator_INTEGRITY_NEW_COMPANY,tender_indicator_ADMINISTRATIVE_CENTRALIZED_PROCUREMENT,tender_indicator_ADMINISTRATIVE_ELECTRONIC_AUCTION,tender_indicator_ADMINISTRATIVE_COVERED_BY_GPA,tender_indicator_ADMINISTRATIVE_FRAMEWORK_AGREEMENT,tender_indicator_ADMINISTRATIVE_ENGLISH_AS_FOREIGN_LANGUAGE,tender_indicator_ADMINISTRATIVE_NOTICE_AND_AWARD_DISCREPANCIES,tender_indicator_TRANSPARENCY_NUMBER_OF_KEY_MISSING_FIELDS,tender_indicator_TRANSPARENCY_AWARD_DATE_MISSING,tender_indicator_TRANSPARENCY_BUYER_NAME_MISSING,tender_indicator_TRANSPARENCY_PROC_METHOD_MISSING,tender_indicator_TRANSPARENCY_BUYER_LOC_MISSING,tender_indicator_TRANSPARENCY_BIDDER_ID_MISSING,tender_indicator_TRANSPARENCY_BIDDER_NAME_MISSING,tender_indicator_TRANSPARENCY_MARKET_MISSING,tender_indicator_TRANSPARENCY_TITLE_MISSING,tender_indicator_TRANSPARENCY_VALUE_MISSING,tender_indicator_TRANSPARENCY_YEAR_MISSING,tender_indicator_INTEGRITY_WINNER_CA_SHARE,tender_indicator_TRANSPARENCY_MISSING_ADDRESS_OF_IMPLEMENTATION_NUTS,tender_indicator_TRANSPARENCY_MISSING_ELIGIBLE_BID_LANGUAGES,tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_AWARD_CRITERIA,tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_CPVS,tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_DURATION_INFO,tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_FUNDINGS_INFO,tender_indicator_TRANSPARENCY_MISSING_SELECTION_METHOD,tender_indicator_TRANSPARENCY_MISSING_SUBCONTRACTED_INFO,buyer_row_nr,buyer_buyerType,buyer_mainActivities,buyer_id,buyer_name,buyer_nuts,buyer_city,buyer_country,buyer_postcode,lot_row_nr,lot_title,lot_selectionMethod,lot_status,lot_contractSignatureDate,lot_cancellationDate,lot_isAwarded,lot_estimatedPrice,lot_estimatedPrice_currency,lot_estimatedPrice_minNetAmount,lot_estimatedPrice_maxNetAmount,lot_estimatedPrice_EUR,lot_lotNumber,lot_bidsCount,lot_validBidsCount,lot_smeBidsCount,lot_electronicBidsCount,lot_nonEuMemberStatesCompaniesBidsCount,lot_otherEuMemberStatesCompaniesBidsCount,lot_foreignCompaniesBidsCount,lot_description_length,bid_row_nr,bid_isWinning,bid_isSubcontracted,bid_isConsortium,bid_price,bid_price_currency,bid_price_minNetAmount,bid_price_maxNetAmount,bid_price_EUR,bidder_row_nr,bidder_id,bidder_name,bidder_nuts,bidder_city,bidder_country,bidder_postcode
d9fb64ad-9ca4-448a-b3e7-39bd826be262,CYP,##empty,ABOVE_THE_THRESHOLD,SERVICES,OPEN,##empty,74210000,74210000,CY000,##empty,"EL,EN",##empty,##empty,##empty,##empty,2007/12/14,##empty,##empty,##empty,##empty,71,2130,yes,no,no,##empty,##empty,##empty,no,no,yes,##empty,900000,EUR,##empty,##empty,900000,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,8,##empty,##empty,1,1,2007-01-01,2007-01-01,##empty,##empty,##empty,##empty,100,50,100,##empty,##empty,##empty,##empty,0,100,0,100,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,0,##empty,##empty,##empty,100,100,100,0,##empty,100,##empty,1,PUBLIC_BODY,RECREATION_CULTURE_AND_RELIGION,EU_body_970e7f39014d1d03bfe3fafaab3540569c1d761261705f3c38b956dbcb9c67ac,Ίδρυμα Πολιτισμού Κύπρου,CY000,Λευκωσία,CYP,1096,1,##empty,##empty,ANNOUNCED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty
267fca44-2dad-46b1-8e7e-7c31a741e9b8,CYP,##empty,ABOVE_THE_THRESHOLD,SERVICES,OPEN,##empty,50300000,50300000,CY000,##empty,"EL,EN",##empty,##empty,##empty,##empty,2006/11/10,##empty,##empty,##empty,##empty,60,1800,no,no,no,##empty,##empty,##empty,yes,no,yes,##empty,694709.78,EUR,##empty,##empty,694709.78,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,1,1,2006-01-01,2006-01-01,##empty,##empty,##empty,##empty,100,50,100,##empty,##empty,##empty,##empty,0,100,0,100,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,0,##empty,##empty,##empty,100,##empty,100,0,##empty,100,##empty,1,NATIONAL_AUTHORITY,GENERAL_PUBLIC_SERVICES,EU_body_e8969762e09a0df896ea9a768d9f37410d77740f25aca28d060291ba4ff0fd09,"Τμήμα Υπηρεσιών Πληροφορικής, Υπουργείο Οικονομικών",##empty,Λευκωσία,CYP,1446,1,##empty,##empty,ANNOUNCED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty
fdb3383a-65ff-4f5b-bcdf-ad25294048a7,CYP,##empty,ABOVE_THE_THRESHOLD,SUPPLIES,OPEN,##empty,24451400,24451400,##empty,##empty,##empty,##empty,##empty,##empty,2006/03/30,##empty,##empty,##empty,##empty,##empty,##empty,##empty,no,no,no,##empty,##empty,##empty,no,no,yes,##empty,204218.63,EUR,##empty,##empty,204218.63,1210099.1,EUR,##empty,##empty,1210099.1,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,1,1,##empty,##empty,2006-01-01,2006-01-01,##empty,0,0,100,100,100,100,##empty,##empty,0,100,0,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,##empty,##empty,##empty,##empty,100,##empty,100,1,NATIONAL_AUTHORITY,HEALTH,EU_body_28cd12ad6243ef5b592b6c9edfadd23dbc85f3df3268a8d6e327b5d270b8e3db,"Υπουργείο Υγείας, Φαρμακευτικές Υπηρεσίες",##empty,Λευκωσία,CYP,1475,1,##empty,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,205407.03,EUR,##empty,##empty,205407.03,1,EU_body_f2bd9168df51986a5a2348271858f4f87ae1b204195bd30cedff5ffa68dd47d9,Καπακιώτης & Παπαέλληνας Λτδ,##empty,Λευκωσία,GRC,21464-1509
9db2fb13-d880-4dad-a152-6abb70575668,CYP,##empty,ABOVE_THE_THRESHOLD,SUPPLIES,OPEN,##empty,33696500,33696500,CY,##empty,EL,##empty,##empty,##empty,##empty,2009/01/09,##empty,##empty,##empty,##empty,24,720,no,no,no,##empty,##empty,##empty,no,no,yes,##empty,500000,EUR,##empty,##empty,500000,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,1,1,2008-01-01,2008-01-01,##empty,##empty,##empty,##empty,100,50,100,##empty,##empty,##empty,##empty,0,100,0,0,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,0,##empty,##empty,##empty,100,##empty,100,0,##empty,100,##empty,1,NATIONAL_AUTHORITY,"GENERAL_PUBLIC_SERVICES,HEALTH",EU_body_5fc5cafbe4e827ec51f62f7ac44da8a12a5d6d0de8bc486758781923e8d595c9,"Ιατρικές Υπηρεσίες και Υπηρεσίες Δημόσιας Υγείας, Υπουργείο Υγείας",##empty,Λευκωσία,CYP,1448,1,##empty,##empty,ANNOUNCED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty
d630b05f-46ff-43db-8d9e-3e2c01b68f7e,CYP,##empty,ABOVE_THE_THRESHOLD,SUPPLIES,OPEN,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,2005/12/09,##empty,##empty,##empty,##empty,##empty,##empty,##empty,no,no,no,##empty,##empty,##empty,no,no,yes,##empty,##empty,##empty,##empty,##empty,##empty,243537.46,EUR,##empty,##empty,243537.46,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,1,1,##empty,##empty,2006-01-01,2006-01-01,##empty,100,0,100,100,100,100,##empty,##empty,0,100,0,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,##empty,##empty,##empty,##empty,100,##empty,100,1,NATIONAL_AUTHORITY,##empty,EU_body_24091b98feb4a5f5afb3cb3b2428d94122504c050d4ff5e95be5283510c09a6c,Τμήμα Κρατικών Αγορών και Προμηθειών,##empty,Λευκωσία,CYP,2025 Στρόβολος,1,##empty,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,3,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,243537.46,EUR,##empty,##empty,243537.46,1,EU_body_dcc17b9f956c0e44d81e63e0da81d388b8c7eb57857d9b7e516a89f62e7a93a3,BMS METAL PIPES INDUSTRIES,##empty,ΠΑΦΟΣ,CYP,8101
21f3447a-98cb-4beb-99a9-5c37e94fe31f,CYP,##empty,ABOVE_THE_THRESHOLD,SUPPLIES,OPEN,##empty,31320000,31320000,CY000,##empty,##empty,##empty,##empty,##empty,2007/04/03,##empty,##empty,##empty,##empty,##empty,##empty,##empty,no,no,no,##empty,##empty,##empty,no,no,yes,##empty,240302.09,EUR,##empty,##empty,240302.09,261694.13,EUR,##empty,##empty,261694.13,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,1,1,##empty,##empty,2007-01-01,2007-01-01,##empty,##empty,0,100,100,100,100,##empty,##empty,0,100,0,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,100,##empty,##empty,##empty,##empty,100,##empty,100,1,NATIONAL_AUTHORITY,##empty,EU_body_f3510e70d9c1d103975f7ab013f328a3d3eaca330586025dd0a48593b2b996aa,Τμήμα Κρατικών Αγορών και Προμηθειών,CY000,Λευκωσία,CYP,2025,1,##empty,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,261694.13,EUR,##empty,##empty,261694.13,1,EU_body_69e6f1d3970d3e3d9b25ad20035f1b991e0b80fe0ff5b1a5f6cebc0951601236,TROODOS ELECTRIC CABLES LTD,##empty,Λευκωσία,CYP,1300
a0dafc5f-8ef1-44b8-98e7-ae37aacde11f,CYP,##empty,ABOVE_THE_THRESHOLD,SUPPLIES,OPEN,##empty,24421100,24421100,##empty,##empty,##empty,##empty,##empty,##empty,2006/02/07,##empty,##empty,##empty,##empty,##empty,##empty,##empty,no,no,no,##empty,##empty,##empty,no,no,yes,##empty,220043.59,EUR,##empty,##empty,220043.59,2202393.45,EUR,##empty,##empty,2202393.45,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,1,1,##empty,##empty,2006-01-01,2006-01-01,##empty,100,0,100,100,100,100,##empty,##empty,0,100,0,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,##empty,##empty,##empty,##empty,100,##empty,100,1,NATIONAL_AUTHORITY,##empty,EU_body_0f0342aa8098a0ac49d2f17e508d269653637e56f405b8d25156ba2ff6988b81,"Υπουργείο Υγείας, Φαρμακευτικές Υπηρεσίες",##empty,Λευκωσία,CYP,1475,1,##empty,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,6,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,220005.21,EUR,##empty,##empty,220005.21,1,EU_body_74541965b0cbeb5b7ff5eb727878ee98e11df551531675186f74459f68be7c79,Φαρμακευτική Οργάνωση Κύπρου Ltd,##empty,Λευκωσία,CYP,210 05-1500
de5889a3-1b50-464d-8bdc-da5e0fce8756,CYP,##empty,ABOVE_THE_THRESHOLD,SUPPLIES,OPEN,##empty,24451400,24451400,CY000,##empty,EL,##empty,##empty,##empty,2007/02/28,2006/12/22,##empty,##empty,##empty,##empty,12,360,no,no,no,##empty,##empty,##empty,no,no,yes,##empty,175125.8,EUR,##empty,##empty,175125.8,1101838.65,EUR,##empty,##empty,1101838.65,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,1,2,2006-01-01,2006-01-01,2007-01-01,2007-01-01,##empty,0,100,50,100,##empty,100,##empty,##empty,0,100,0,0,83.3333,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,100,100,##empty,100,0,100,100,100,1,NATIONAL_AUTHORITY,HEALTH,EU_body_097f106a0a89ee5e3810b344c2a412c50d0f487018b5529dff52835bbe1bab63,"Υπουργείο Υγείας, Φαρμακευτικές Υπηρεσίες.",##empty,Λευκωσία,CYP,1475,1,##empty,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,60514.93,EUR,##empty,##empty,60514.93,1,EU_body_3d4f106dcaf7cdf1fc318b27edb4c5f592caface48683f1f18a130ca480549b0,Pharmnet Ltd,CY000,Λευκωσία,CYP,2235
f9d5df80-8c36-4daf-8a1a-371d2dabb92e,CYP,##empty,BELOW_THE_THRESHOLD,SUPPLIES,OPEN,##empty,33192000,33192000,##empty,##empty,##empty,##empty,##empty,##empty,2006/01/09,##empty,##empty,##empty,##empty,##empty,##empty,##empty,no,no,no,##empty,##empty,##empty,no,no,yes,##empty,88731.81,EUR,##empty,##empty,88731.81,416913.07,EUR,##empty,##empty,416913.07,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,1,1,##empty,##empty,2006-01-01,2006-01-01,##empty,100,0,100,100,100,100,##empty,##empty,0,100,0,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,0,##empty,##empty,##empty,##empty,100,##empty,100,1,NATIONAL_AUTHORITY,##empty,EU_body_2c9867a0768bcf6bf506ac14f911fb87446569eeb7be7f486d5c37a30993bbe8,Υπουργείο Υγείας,##empty,Λευκωσία,CYP,1475,1,##empty,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,10,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,38793.64,EUR,##empty,##empty,38793.64,1,EU_body_82099030bfdb08ef4c85dfcd166d389ac5ec24c4e89dee6a9b739c489c54f268,Latimer Trading Ltd.,##empty,Λευκωσία,CYP,23973-1687
b8717328-a85f-4183-8232-5078172f3580,CYP,##empty,ABOVE_THE_THRESHOLD,SUPPLIES,OPEN,##empty,27114000,"27114000,28413000,44330000,44313000",CY000,##empty,"EN,EL",##empty,##empty,##empty,2008/11/03,2008/09/12,##empty,##empty,##empty,##empty,12,360,no,no,no,##empty,##empty,##empty,yes,no,yes,##empty,1500000,EUR,##empty,##empty,1500000,1124631.2,EUR,##empty,##empty,1124631.2,##empty,##empty,##empty,##empty,##empty,1,##empty,##empty,1,2,2008-01-01,2008-01-01,2008-01-01,2008-01-01,##empty,##empty,100,100,100,##empty,100,##empty,##empty,0,100,0,100,83.3333,##empty,##empty,##empty,##empty,##empty,##empty,100,##empty,##empty,100,##empty,##empty,100,100,##empty,100,0,100,100,100,1,NATIONAL_AUTHORITY,GENERAL_PUBLIC_SERVICES,EU_body_404b7f11396c0b16473bc00d880c0ec4e836a37d6cbbe3e3eeddda60ecc723c3,Tμήμα Kρατικών Αγορών και Προμηθειών,CY000,Λευκωσία,CYP,2401,1,##empty,##empty,AWARDED,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,##empty,1,yes,no,##empty,580030.5,EUR,##empty,##empty,580030.5,1,EU_body_80a186f0d4cc3817f22297d7b55f2826017becb4e8ff79e93f8e7748af1bed44,Δ. ΝΙΚΟΛΑΟΥ ΚΑΙ ΥΙΟΙ ΛΤΔ,##empty,Λέμεσος,CYP,3507
