tender_row_nr;tender_id;tender_country;tender_title;tender_size;tender_supplyType;tender_procedureType;tender_nationalProcedureType;tender_mainCpv;tender_cpvs;tender_addressOfImplementation_nuts;tender_year;tender_eligibleBidLanguages;tender_npwp_reasons;tender_awardDeadline;tender_contractSignatureDate;tender_awardDecisionDate;tender_bidDeadline;tender_cancellationDate;tender_estimatedStartDate;tender_estimatedCompletionDate;tender_estimatedDurationInYears;tender_estimatedDurationInMonths;tender_estimatedDurationInDays;tender_isEUFunded;tender_isDps;tender_isElectronicAuction;tender_isAwarded;tender_isCentralProcurement;tender_isJointProcurement;tender_isOnBehalfOf;tender_isFrameworkAgreement;tender_isCoveredByGpa;tender_hasLots;tender_estimatedPrice;tender_estimatedPrice_currency;tender_estimatedPrice_minNetAmount;tender_estimatedPrice_maxNetAmount;tender_estimatedPrice_EUR;tender_finalPrice;tender_finalPrice_currency;tender_finalPrice_minNetAmount;tender_finalPrice_maxNetAmount;tender_finalPrice_EUR;tender_description_length;tender_personalRequirements_length;tender_economicRequirements_length;tender_technicalRequirements_length;tender_documents_count;tender_awardCriteria_count;tender_corrections_count;tender_onBehalfOf_count;tender_lots_count;tender_publications_count;tender_publications_firstCallForTenderDate;tender_publications_lastCallForTenderDate;tender_publications_firstdContractAwardDate;tender_publications_lastContractAwardDate;tender_publications_lastContractAwardUrl;tender_indicator_INTEGRITY_SINGLE_BID;tender_indicator_INTEGRITY_CALL_FOR_TENDER_PUBLICATION;tender_indicator_INTEGRITY_ADVERTISEMENT_PERIOD;tender_indicator_INTEGRITY_PROCEDURE_TYPE;tender_indicator_INTEGRITY_DECISION_PERIOD;tender_indicator_INTEGRITY_TAX_HAVEN;tender_indicator_INTEGRITY_NEW_COMPANY;tender_indicator_ADMINISTRATIVE_CENTRALIZED_PROCUREMENT;tender_indicator_ADMINISTRATIVE_ELECTRONIC_AUCTION;tender_indicator_ADMINISTRATIVE_COVERED_BY_GPA;tender_indicator_ADMINISTRATIVE_FRAMEWORK_AGREEMENT;tender_indicator_ADMINISTRATIVE_ENGLISH_AS_FOREIGN_LANGUAGE;tender_indicator_ADMINISTRATIVE_NOTICE_AND_AWARD_DISCREPANCIES;tender_indicator_TRANSPARENCY_NUMBER_OF_KEY_MISSING_FIELDS;tender_indicator_TRANSPARENCY_AWARD_DATE_MISSING;tender_indicator_TRANSPARENCY_BUYER_NAME_MISSING;tender_indicator_TRANSPARENCY_PROC_METHOD_MISSING;tender_indicator_TRANSPARENCY_BUYER_LOC_MISSING;tender_indicator_TRANSPARENCY_BIDDER_ID_MISSING;tender_indicator_TRANSPARENCY_BIDDER_NAME_MISSING;tender_indicator_TRANSPARENCY_MARKET_MISSING;tender_indicator_TRANSPARENCY_TITLE_MISSING;tender_indicator_TRANSPARENCY_VALUE_MISSING;tender_indicator_TRANSPARENCY_YEAR_MISSING;tender_indicator_INTEGRITY_WINNER_CA_SHARE;tender_indicator_TRANSPARENCY_MISSING_ADDRESS_OF_IMPLEMENTATION_NUTS;tender_indicator_TRANSPARENCY_MISSING_ELIGIBLE_BID_LANGUAGES;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_AWARD_CRITERIA;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_CPVS;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_DURATION_INFO;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_FUNDINGS_INFO;tender_indicator_TRANSPARENCY_MISSING_SELECTION_METHOD;tender_indicator_TRANSPARENCY_MISSING_SUBCONTRACTED_INFO;buyer_row_nr;buyer_buyerType;buyer_mainActivities;buyer_id;buyer_name;buyer_nuts;buyer_city;buyer_country;buyer_postcode;lot_row_nr;lot_title;lot_selectionMethod;lot_status;lot_contractSignatureDate;lot_cancellationDate;lot_isAwarded;lot_estimatedPrice;lot_estimatedPrice_currency;lot_estimatedPrice_minNetAmount;lot_estimatedPrice_maxNetAmount;lot_estimatedPrice_EUR;lot_lotNumber;lot_bidsCount;lot_validBidsCount;lot_smeBidsCount;lot_electronicBidsCount;lot_nonEuMemberStatesCompaniesBidsCount;lot_otherEuMemberStatesCompaniesBidsCount;lot_foreignCompaniesBidsCount;lot_description_length;bid_row_nr;bid_isWinning;bid_isSubcontracted;bid_isConsortium;bid_price;bid_price_currency;bid_price_minNetAmount;bid_price_maxNetAmount;bid_price_EUR;bidder_row_nr;bidder_id;bidder_name;bidder_nuts;bidder_city;bidder_country;bidder_postcode
1;5490c77c-8b5a-4ce6-a002-679b29d62f8c;MT;;;;;;;;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;0;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;PUBLIC_BODY;ECONOMIC_AND_FINANCIAL_AFFAIRS;EU_body_210426dc7afcfc314b7bb9924b41aa2b27f84a51366c4b2c16847e97bb9aa3ee;Malta Enterprise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;5018d4d1-555b-4d7d-9113-ff574ad5b90a;MT;Tender for the Supply of Clinical Reagents with Equipment on Loan.;;SUPPLIES;OPEN;pt_open;38434560;38434560;;2013;;;;;;2014/01/28;;;;;;;no;no;no;;;;no;no;no;no;;;;;;;;;;;66;;;;;1;;;1;1;2013-12-05;2013-12-05;;;;;100;100;100;;;;;0;0;0;;;;;;;;;;;;0;;;;0;;100;0;;100;;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES,HEALTH,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS,ENVIRONMENT,PUBLIC_ORDER_AND_SAFETY,DEFENCE,RECREATION_CULTURE_AND_RELIGION,HOUSING_AND_COMMUNITY_AMENITIES,SOCIAL_PROTECTION,WATER,ELECTRICITY,GAS_AND_HEAT_PRODUCTION;EU_body_c027c18b11cc1957386e7a659059e7af137fccb611b51f25f4d23e61519c4825;Department of Contracts;MT;Floriana;MT;FRN 1600;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;8d09109b-a06a-4b39-b36b-5f2cb3c7dfca;MT;;;;;;;;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;0;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;NATIONAL_AUTHORITY;OTHER;EU_body_b9809bd3c7f8aa724793d12e2f63820ead7578bcb0da8b281fa58bdb34792d90;Department of Contracts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;8baf8d54-036c-4375-8460-139bbd887496;MT;;;;;;;;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;0;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;PUBLIC_BODY;OTHER;EU_body_e86513e3c01293864855c9bab165ae80354bd7ed123964aed85068924a2ad4db;Department of Contracts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;a85daacf-e158-4bb3-af42-007d7385262c;MT;Mechanical and Woodwork Equipment and Machinery at the Malta College of Arts, Science and Technology (MCAST), Soil Street, Xewkija, Gozo - INVESTING IN YOUR FUTURE.;BELOW_THE_THRESHOLD;SUPPLIES;OPEN;pt_open;42612000;42612000,42620000,42621000,42621100,42642100;;2013;;;;;;;;;;;;;yes;yes;no;;;;no;no;yes;;;;;;;115247.57;EUR;;;115247.57;412;;;;;1;;;1;2;;;2013-06-18;2013-06-18;http://ted.europa.eu/udl?uri=TED:NOTICE:197702-2013:TEXT:EN:HTML;;0;100;100;100;100;;;0;100;0;;;;;;;;;100;;;0;;;0;;;;;100;;0;1;NATIONAL_AUTHORITY;EDUCATION,OTHER;EU_body_0c0b3639887dcf3eac1ee1dd588b1644dd1bb454cfb9910dd986614338368d27;Malta College of Arts Science and Technology;MT;Paola;MT;PLA 9032;1;;;PREAWARDED;;;;;;;;;;;;;;;;;;1;yes;;;;;;;;1;EU_body_9d9434f17c32e3bfe322d34f0d47464847ad8f1ab0f245aee3517ba4b6426eb6;MCE Limited;;Qormi;MT;QRM 09
5;a85daacf-e158-4bb3-af42-007d7385262c;MT;Mechanical and Woodwork Equipment and Machinery at the Malta College of Arts, Science and Technology (MCAST), Soil Street, Xewkija, Gozo - INVESTING IN YOUR FUTURE.;BELOW_THE_THRESHOLD;SUPPLIES;OPEN;pt_open;42612000;42612000,42620000,42621000,42621100,42642100;;2013;;;;;;;;;;;;;yes;yes;no;;;;no;no;yes;;;;;;;115247.57;EUR;;;115247.57;412;;;;;1;;;1;2;;;2013-06-18;2013-06-18;http://ted.europa.eu/udl?uri=TED:NOTICE:197702-2013:TEXT:EN:HTML;;0;100;100;100;100;;;0;100;0;;;;;;;;;100;;;0;;;0;;;;;100;;0;1;NATIONAL_AUTHORITY;EDUCATION,OTHER;EU_body_0c0b3639887dcf3eac1ee1dd588b1644dd1bb454cfb9910dd986614338368d27;Malta College of Arts Science and Technology;MT;Paola;MT;PLA 9032;1;;;PREAWARDED;;;;;;;;;;;;;;;;;;2;yes;;;;;;;;1;EU_body_474d015c784ad525e8f85d4887184916ff95c0605a74f91bb73a18cf4ba48d76;RGA Trading Ltd.;;Victoria;MT;
6;45ea613b-227f-4098-90b5-3dda575356b5;MT;Call for Quotations for the supply of Prednisone acetate 30 mg Suppositories.;;SUPPLIES;OPEN;pt_open;33614000;33614000;;2013;;;;;;2013/08/23;;;;;;;no;no;no;;;;no;no;no;no;;;;;;;;;;;77;;;;;1;;;1;1;2013-08-20;2013-08-20;;;;;100;50;100;;;;;0;0;0;;;;;;;;;;;;0;;;;0;;100;0;;100;;1;NATIONAL_AUTHORITY;OTHER,HEALTH,GENERAL_PUBLIC_SERVICES;EU_body_948301d1004301e8cd43803105e8a5f375b92a147354e828abacf6a097a4edff;Central Procurement and Supplies Unit MFH;MT001;Guardamangia;MT;PTA 1010;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;38549a7e-e9a2-488f-97e9-c9d3bcd2e24c;MT;Tender for the supply of pregabalin capsules.;;SUPPLIES;OPEN;pt_open;33661300;33661300;;2013;;;;;;;;;;;;;no;no;no;;;;yes;no;yes;;;;;;;340704;EUR;;;340704;244;;;;;1;;1;1;1;;;2013-12-27;2013-12-27;http://ted.europa.eu/udl?uri=TED:NOTICE:438665-2013:TEXT:EN:HTML;0;0;100;100;100;100;;;0;100;0;;;;;;;;;100;;;100;;;0;;;;;100;;100;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES,HEALTH,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS,ENVIRONMENT,PUBLIC_ORDER_AND_SAFETY,DEFENCE,RECREATION_CULTURE_AND_RELIGION,HOUSING_AND_COMMUNITY_AMENITIES,SOCIAL_PROTECTION,WATER,ELECTRICITY,GAS_AND_HEAT_PRODUCTION;EU_body_c027c18b11cc1957386e7a659059e7af137fccb611b51f25f4d23e61519c4825;Department of Contracts;MT;Floriana;MT;FRN 1600;1;;;AWARDED;;;;;;;;;;1;;;;;;;;1;yes;no;;340704;EUR;;;340704;1;EU_body_9c1ca1c954a056e9dc27e810244fd90129bcfeeb0b019c45d34a5e6103180683;V.J. Salomone Pharma Limited;MT;MARSA [Il-Marsa];MT;MRS 1542
8;f0e1cb73-90fe-4931-bb26-919aba13d629;MT;Security, guarding, cash-in-transit, alarm monitoring and response services at the department of VAT.;;SERVICES;OPEN;pt_open;79710000;79710000;;2013;;;;;;2014/01/07;;;;;;;no;no;no;;;;no;no;no;no;;;;;;;;;;;101;;;;;1;;;1;1;2013-11-16;2013-11-16;;;;;100;100;100;;;;;0;0;0;;;;;;;;;;;;0;;;;0;;100;0;;100;;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES,HEALTH,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS,ENVIRONMENT,PUBLIC_ORDER_AND_SAFETY,DEFENCE,RECREATION_CULTURE_AND_RELIGION,HOUSING_AND_COMMUNITY_AMENITIES,SOCIAL_PROTECTION,WATER,ELECTRICITY,GAS_AND_HEAT_PRODUCTION;EU_body_c027c18b11cc1957386e7a659059e7af137fccb611b51f25f4d23e61519c4825;Department of Contracts;MT;Floriana;MT;FRN 1600;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;e8ba80fd-0211-40cf-ae8f-575f950c775a;MT;;;;;;;;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;0;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;NATIONAL_AUTHORITY;OTHER;EU_body_19f4169517d943aa2d310cb9c58645a9b740237e79fb7da01530c1b4fe9607fb;Department of Contracts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
