tender_row_nr;tender_id;tender_country;tender_title;tender_size;tender_supplyType;tender_procedureType;tender_nationalProcedureType;tender_mainCpv;tender_cpvs;tender_addressOfImplementation_nuts;tender_year;tender_eligibleBidLanguages;tender_npwp_reasons;tender_awardDeadline;tender_contractSignatureDate;tender_awardDecisionDate;tender_bidDeadline;tender_cancellationDate;tender_estimatedStartDate;tender_estimatedCompletionDate;tender_estimatedDurationInYears;tender_estimatedDurationInMonths;tender_estimatedDurationInDays;tender_isEUFunded;tender_isDps;tender_isElectronicAuction;tender_isAwarded;tender_isCentralProcurement;tender_isJointProcurement;tender_isOnBehalfOf;tender_isFrameworkAgreement;tender_isCoveredByGpa;tender_hasLots;tender_estimatedPrice;tender_estimatedPrice_currency;tender_estimatedPrice_minNetAmount;tender_estimatedPrice_maxNetAmount;tender_estimatedPrice_EUR;tender_finalPrice;tender_finalPrice_currency;tender_finalPrice_minNetAmount;tender_finalPrice_maxNetAmount;tender_finalPrice_EUR;tender_description_length;tender_personalRequirements_length;tender_economicRequirements_length;tender_technicalRequirements_length;tender_documents_count;tender_awardCriteria_count;tender_corrections_count;tender_onBehalfOf_count;tender_lots_count;tender_publications_count;tender_publications_firstCallForTenderDate;tender_publications_lastCallForTenderDate;tender_publications_firstdContractAwardDate;tender_publications_lastContractAwardDate;tender_publications_lastContractAwardUrl;tender_indicator_INTEGRITY_SINGLE_BID;tender_indicator_INTEGRITY_CALL_FOR_TENDER_PUBLICATION;tender_indicator_INTEGRITY_ADVERTISEMENT_PERIOD;tender_indicator_INTEGRITY_PROCEDURE_TYPE;tender_indicator_INTEGRITY_DECISION_PERIOD;tender_indicator_INTEGRITY_TAX_HAVEN;tender_indicator_INTEGRITY_NEW_COMPANY;tender_indicator_ADMINISTRATIVE_CENTRALIZED_PROCUREMENT;tender_indicator_ADMINISTRATIVE_ELECTRONIC_AUCTION;tender_indicator_ADMINISTRATIVE_COVERED_BY_GPA;tender_indicator_ADMINISTRATIVE_FRAMEWORK_AGREEMENT;tender_indicator_ADMINISTRATIVE_ENGLISH_AS_FOREIGN_LANGUAGE;tender_indicator_ADMINISTRATIVE_NOTICE_AND_AWARD_DISCREPANCIES;tender_indicator_TRANSPARENCY_NUMBER_OF_KEY_MISSING_FIELDS;tender_indicator_TRANSPARENCY_AWARD_DATE_MISSING;tender_indicator_TRANSPARENCY_BUYER_NAME_MISSING;tender_indicator_TRANSPARENCY_PROC_METHOD_MISSING;tender_indicator_TRANSPARENCY_BUYER_LOC_MISSING;tender_indicator_TRANSPARENCY_BIDDER_ID_MISSING;tender_indicator_TRANSPARENCY_BIDDER_NAME_MISSING;tender_indicator_TRANSPARENCY_MARKET_MISSING;tender_indicator_TRANSPARENCY_TITLE_MISSING;tender_indicator_TRANSPARENCY_VALUE_MISSING;tender_indicator_TRANSPARENCY_YEAR_MISSING;tender_indicator_INTEGRITY_WINNER_CA_SHARE;tender_indicator_TRANSPARENCY_MISSING_ADDRESS_OF_IMPLEMENTATION_NUTS;tender_indicator_TRANSPARENCY_MISSING_ELIGIBLE_BID_LANGUAGES;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_AWARD_CRITERIA;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_CPVS;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_DURATION_INFO;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_FUNDINGS_INFO;tender_indicator_TRANSPARENCY_MISSING_SELECTION_METHOD;tender_indicator_TRANSPARENCY_MISSING_SUBCONTRACTED_INFO;buyer_row_nr;buyer_buyerType;buyer_mainActivities;buyer_id;buyer_name;buyer_nuts;buyer_city;buyer_country;buyer_postcode;lot_row_nr;lot_title;lot_selectionMethod;lot_status;lot_contractSignatureDate;lot_cancellationDate;lot_isAwarded;lot_estimatedPrice;lot_estimatedPrice_currency;lot_estimatedPrice_minNetAmount;lot_estimatedPrice_maxNetAmount;lot_estimatedPrice_EUR;lot_lotNumber;lot_bidsCount;lot_validBidsCount;lot_smeBidsCount;lot_electronicBidsCount;lot_nonEuMemberStatesCompaniesBidsCount;lot_otherEuMemberStatesCompaniesBidsCount;lot_foreignCompaniesBidsCount;lot_description_length;bid_row_nr;bid_isWinning;bid_isSubcontracted;bid_isConsortium;bid_price;bid_price_currency;bid_price_minNetAmount;bid_price_maxNetAmount;bid_price_EUR;bidder_row_nr;bidder_id;bidder_name;bidder_nuts;bidder_city;bidder_country;bidder_postcode
1;a1daec37-8925-4b03-aaac-b662353c32ad;MT;Tender for the Construction and Resurfacing of Triq Alfred Cachia Zammit, Zejtun.;;WORKS;OPEN;pt_open;45233120;45233120,45233251;;2015;;;;;;;;;;;;;no;no;no;;;;no;no;no;;;;;;;515312.49;EUR;;;515312.49;81;;;;;1;;;1;1;;;2015-05-13;2015-05-13;http://ted.europa.eu/udl?uri=TED:NOTICE:164771-2015:TEXT:EN:HTML;100;0;100;100;100;100;;;0;0;0;;;;;;;;;100;;;100;;;0;;;;;100;;100;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES,HEALTH,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS,ENVIRONMENT,PUBLIC_ORDER_AND_SAFETY,DEFENCE,RECREATION_CULTURE_AND_RELIGION,HOUSING_AND_COMMUNITY_AMENITIES,SOCIAL_PROTECTION,WATER,ELECTRICITY,GAS_AND_HEAT_PRODUCTION;EU_body_c027c18b11cc1957386e7a659059e7af137fccb611b51f25f4d23e61519c4825;Department of Contracts;MT;Floriana;MT;FRN 1600;1;;;AWARDED;;;;;;;;;;7;;;;;;;;1;yes;no;;515312.49;EUR;;;515312.49;1;EU_body_d81bed279a5aca0a99a921c3f0407f29bc9227842bb02a1005d8d3fdb0b1aebd;Schembri Infrastructures Ltd;;Birzebbuga (Birżebbuġa);MT;BBG 9035
2;0a254ef5-44ef-44e7-8521-fd2e50879f38;MT;Request for Tender Proposals for the Design, Build and Operation of an upmarket mixed tourism and leisure development in St George's Bay, St Julian's (Malta).;;WORKS;OPEN;pt_open;39313000;39313000,55000000,55100000,55110000,55120000,55130000,45212411;;2015;EN;;;;;2016/01/15;;;;;;;no;no;no;;;;no;no;no;no;;;;;;;;;;;1650;;;;;;;;1;1;2015-11-18;2015-11-18;;;;;100;100;100;;;;;0;0;0;100;;;;;;;;;;;0;;;;100;0;100;0;;100;;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,OTHER;EU_body_43556800b4eaeeea720b877f65fe111cf5c334655cfb1340c253e691b3d6733c;Projects Malta Limited on behalf of the Ministry for Energy and Health;MT0;Sliema;MT;TP01;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;635d28b0-e454-4e6e-a281-35d7e8189f97;MT;Tender for Minor Civil Works and Finishing Works at the Paola Wolves (Bocci Pitch) at Paola.;;WORKS;OPEN;pt_open;45212000;45212000;;2015;EN;;;;;2015/07/30;;;;;;56;no;no;no;;;;no;no;no;no;;;;;;;;;;;105;;;;;1;;;1;1;2015-07-10;2015-07-10;;;;;100;50;100;;;;;0;0;0;100;;;;;;;;;;;0;;;;100;;100;0;;100;;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES;EU_body_b81de51580b55dc273b3fb2400e3ac012003269c6f18321d574f1a8a5c2ee993;Grand Harbour Regeneration Corporation plc;MT;FLORIANA;MT;FRN1700;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;5efa9763-d8e6-4d11-9620-60170fdc5209;MT;Tender for the Design and Printing of a Publication to be Issued by the Planning and Priorities Coordination Division.;BELOW_THE_THRESHOLD;SUPPLIES;OPEN;pt_open;22160000;22160000;;2015;EN;;;;;2015/09/25;;;;;;42;yes;no;no;;;;no;no;no;no;6500;EUR;;;6500;;;;;;118;;;;;1;;;1;1;2015-09-09;2015-09-09;;;;;100;50;100;;;;;0;0;0;100;;;;;;;;;;;0;;;;100;;100;0;;100;;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,OTHER;EU_body_9ee575305d8b6467cadf1939a882e35edbb18da70a7a7364137eb52119daa78a;Ministry for European Affairs and Implementation of the Electoral Manifesto (MEAIM);;Santa Venera;MT;SVR 1411;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4302bc90-ef11-4208-b245-0c48c0203810;MT;Provision of Servers and Maintenance and Support Services — T044/15.;;SUPPLIES;OPEN;pt_open;44316400;44316400,50312000;;2015;;;;;;2015/10/19;;;;;;;no;no;no;;;;no;no;no;no;;;;;;;;;;;105;;;;;1;;;1;1;2015-09-09;2015-09-09;;;;;100;50;100;;;;;0;0;0;;;;;;;;;;;;0;;;;0;;100;0;;100;;1;OTHER;OTHER,GENERAL_PUBLIC_SERVICES;EU_body_7cb3de8d53ef6ccd4b5c817def25338e44a1a589d86c15db802b474b2396aa10;Malta Information Technology Agency MITA;MT;Blata Bajda;MT;HMR 9010;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;a14a6ae8-aade-4290-976c-ba1379d4e7a6;MT;Tender for the Provision of a Home Help Service in Malta.;;SERVICES;OPEN;pt_open;98513310;98513310;;2015;;;;;;2015/07/02;;;;;;;no;no;no;;;;no;no;no;no;;;;;;;;;;;57;;;;;1;;;1;1;2015-05-27;2015-05-27;;;;;100;50;100;;;;;0;0;0;;;;;;;;;;;;0;;;;0;;100;0;;100;;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES,HEALTH,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS,ENVIRONMENT,PUBLIC_ORDER_AND_SAFETY,DEFENCE,RECREATION_CULTURE_AND_RELIGION,HOUSING_AND_COMMUNITY_AMENITIES,SOCIAL_PROTECTION,WATER,ELECTRICITY,GAS_AND_HEAT_PRODUCTION;EU_body_c027c18b11cc1957386e7a659059e7af137fccb611b51f25f4d23e61519c4825;Department of Contracts;MT;Floriana;MT;FRN 1600;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;5746bdd4-71da-41db-ad1c-72a75ba2b952;MT;Tender for the Provision and Installation of Energy Efficient Laptops, Docking Stations, and Monitors for the Managing Authority (Agriculture) within the Funds and Programmes Unit.;BELOW_THE_THRESHOLD;SUPPLIES;OPEN;pt_open;30213100;30213100,30231300,30232000;;2015;;;;;;;;;;;;;yes;no;no;;;;no;no;no;;;;;;;15791.65;EUR;;;15791.65;180;;;;;1;;;1;1;;;2015-09-19;2015-09-19;http://ted.europa.eu/udl?uri=TED:NOTICE:329545-2015:TEXT:EN:HTML;100;0;100;100;100;100;;;0;0;0;;;;;;;;;100;;;100;;;0;;;;;100;;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,OTHER;EU_body_9ee575305d8b6467cadf1939a882e35edbb18da70a7a7364137eb52119daa78a;Ministry for European Affairs and Implementation of the Electoral Manifesto (MEAIM);;Santa Venera;MT;SVR 1411;1;;;AWARDED;;;;;;;;;;6;;;6;;;;;1;yes;no;;15791.65;EUR;;;15791.65;1;EU_body_670cb9cad60887928761d34529598330cb2e801249510e8562bf33c08892d9dd;Fgl Information Technology Ltd;;Birkirkara;MT;BKR 9000
8;80bd99af-b4a4-4ea6-b476-da899fac3837;MT;Tender for the Construction of an Extension Using Environmentally Friendly Construction Materials and Products at Gharghur Primary School.;;WORKS;OPEN;pt_open;45000000;45000000,45262500,44114000,45100000;;2015;EN;;;;;2015/03/26;;;;;;;yes;no;no;;;;no;no;no;no;;;;;;;;;;;138;;;23;;1;;;1;1;2015-02-18;2015-02-18;;;;;100;50;100;;;;;0;0;0;100;;;;;;;;;;;0;;;;100;;100;0;;100;;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES,HEALTH,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS,ENVIRONMENT,PUBLIC_ORDER_AND_SAFETY,DEFENCE,RECREATION_CULTURE_AND_RELIGION,HOUSING_AND_COMMUNITY_AMENITIES,SOCIAL_PROTECTION,WATER,ELECTRICITY,GAS_AND_HEAT_PRODUCTION;EU_body_c027c18b11cc1957386e7a659059e7af137fccb611b51f25f4d23e61519c4825;Department of Contracts;MT;Floriana;MT;FRN 1600;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;ca3ae6a7-f51d-4fc8-900f-6a56146f3a21;MT;Tender for Supply, Delivery and Laying of Porfido and Hard-Stone Paving Material at Castille Square, Valletta.;BELOW_THE_THRESHOLD;WORKS;OPEN;pt_open;45000000;45000000;;2015;;;;;;;;;;;;;no;no;no;;;;no;no;no;;;;;;;729211.08;EUR;;;729211.08;695;;;;;1;;;1;1;;;2015-05-02;2015-05-02;http://ted.europa.eu/udl?uri=TED:NOTICE:150820-2015:TEXT:EN:HTML;100;0;100;100;100;100;;;0;0;0;;;;;;;;;100;;;100;;;0;;;;;100;;100;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES;EU_body_b81de51580b55dc273b3fb2400e3ac012003269c6f18321d574f1a8a5c2ee993;Grand Harbour Regeneration Corporation plc;MT;FLORIANA;MT;FRN1700;1;;;AWARDED;;;;;;;;;;4;;;;;;;;1;yes;no;;729211.06;EUR;;;729211.06;1;EU_body_d81bed279a5aca0a99a921c3f0407f29bc9227842bb02a1005d8d3fdb0b1aebd;Schembri Infrastructures Ltd;;Birzebbuga (Birżebbuġa);MT;BBG 9035
10;ab57f464-4341-4835-8b35-63d0bd0c2d47;MT;;;;;;;;;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;0;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;NATIONAL_AUTHORITY;OTHER;EU_body_2aa15066ece12a627eb70bb0c78afcdd4fd763f2948b8a88d0c8660999b731e1;Grand Harbour Regeneration Corporation plc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
